phase,split,eval_idx,global_step,tokens_seen,loss,attention_type,positional_mode,drop_positions_tokens,hidden_size,n_layers,head_size,seed,acc,f1,mcc
protein,valid_long,19,20000,792399283,2.53125,bidirectional,rotary,-1,768,12,64,11,0.2259023516408126,0.2259023516408126,0.16787400651044762
protein,train,20,21000,832042000,2.502578125,bidirectional,rotary,-1,768,12,64,11,,,
protein,valid_short,20,21000,832042000,2.46875,bidirectional,rotary,-1,768,12,64,11,0.24365637419749311,0.24365637419749311,0.1878658858455733
protein,valid_long,20,21000,832042000,2.5234375,bidirectional,rotary,-1,768,12,64,11,0.23286853601544244,0.23286853601544244,0.17500598351180863
protein,train,21,22000,871698306,2.5005,bidirectional,rotary,-1,768,12,64,11,,,
protein,valid_short,21,22000,871698306,2.4609375,bidirectional,rotary,-1,768,12,64,11,0.24901549634327214,0.24901549634327214,0.19369665219052237
protein,valid_long,21,22000,871698306,2.53125,bidirectional,rotary,-1,768,12,64,11,0.23095310751703793,0.23095310751703793,0.17234035093368644
protein,train,22,23000,911298736,2.49834375,bidirectional,rotary,-1,768,12,64,11,,,
protein,valid_short,22,23000,911298736,2.46875,bidirectional,rotary,-1,768,12,64,11,0.24614673242909987,0.24614673242909987,0.19033662121615214
protein,valid_long,22,23000,911298736,2.53125,bidirectional,rotary,-1,768,12,64,11,0.2282015047931864,0.2282015047931864,0.170355729842453
protein,train,23,24000,950970623,2.4919375,bidirectional,rotary,-1,768,12,64,11,,,
protein,valid_short,23,24000,950970623,2.453125,bidirectional,rotary,-1,768,12,64,11,0.24920586125627625,0.24920586125627625,0.1934363321177736
protein,valid_long,23,24000,950970623,2.5234375,bidirectional,rotary,-1,768,12,64,11,0.23229300090040964,0.23229300090040964,0.17448638729322674
protein,train,24,25000,990557045,2.486171875,bidirectional,rotary,-1,768,12,64,11,,,
protein,valid_short,24,25000,990557045,2.453125,bidirectional,rotary,-1,768,12,64,11,0.25043469366881455,0.25043469366881455,0.19509139624936608
protein,valid_long,24,25000,990557045,2.515625,bidirectional,rotary,-1,768,12,64,11,0.23290900518623292,0.23290900518623292,0.1751512466822246
protein,train,25,25239,1000033895,2.4847018828451883,bidirectional,rotary,-1,768,12,64,11,,,
protein,valid_short,25,25239,1000033895,2.453125,bidirectional,rotary,-1,768,12,64,11,0.25176781808007326,0.25176781808007326,0.19655894008145494
protein,valid_long,25,25239,1000033895,2.5234375,bidirectional,rotary,-1,768,12,64,11,0.2313589555448726,0.2313589555448726,0.17386776672741164
protein,train,0,1000,39601271,2.760390625,causal,rotary,-1,768,12,64,11,,,
protein,valid_short,0,1000,39601271,2.625,causal,rotary,-1,768,12,64,11,0.1987939596635249,0.1987939596635249,0.1382139668824944
