phase,split,eval_idx,global_step,tokens_seen,loss,attention_type,positional_mode,drop_positions_tokens,hidden_size,n_layers,head_size,seed,acc,f1,mcc
protein,valid_short,14,15000,594251982,2.5625,causal,rotary,700000000,768,12,64,11,0.21640171587181428,0.21640171587181428,0.1572594256566935
protein,valid_long,14,15000,594251982,2.5703125,causal,rotary,700000000,768,12,64,11,0.21510591709950097,0.21510591709950097,0.15501886672217777
protein,train,15,16000,633868779,2.588671875,causal,rotary,700000000,768,12,64,11,,,
protein,valid_short,15,16000,633868779,2.5703125,causal,rotary,700000000,768,12,64,11,0.21841346883057788,0.21841346883057788,0.1599566933099844
protein,valid_long,15,16000,633868779,2.578125,causal,rotary,700000000,768,12,64,11,0.21260232877408858,0.21260232877408858,0.15227144883947588
protein,train,16,17000,673525684,2.586859375,causal,rotary,700000000,768,12,64,11,,,
protein,valid_short,16,17000,673525684,2.5546875,causal,rotary,700000000,768,12,64,11,0.21969391864679821,0.21969391864679821,0.1606893872683853
protein,valid_long,16,17000,673525684,2.578125,causal,rotary,700000000,768,12,64,11,0.21244313416524765,0.21244313416524765,0.15274847217155788
protein,train,17,18000,713212112,2.5990625,causal,rotary,700000000,768,12,64,11,,,
protein,valid_short,17,18000,713212112,2.609375,causal,rotary,700000000,768,12,64,11,0.2042067916877851,0.2042067916877851,0.14321583481097583
protein,valid_long,17,18000,713212112,2.59375,causal,rotary,700000000,768,12,64,11,0.20266403302185418,0.20266403302185418,0.14144826858213172
protein,train,18,19000,752794869,2.617984375,causal,rotary,700000000,768,12,64,11,,,
protein,valid_short,18,19000,752794869,2.578125,causal,rotary,700000000,768,12,64,11,0.2120747778118296,0.2120747778118296,0.15286227285177206
protein,valid_long,18,19000,752794869,2.6015625,causal,rotary,700000000,768,12,64,11,0.2015542328042328,0.2015542328042328,0.14117761885136437
protein,train,19,20000,792399283,2.61296875,causal,rotary,700000000,768,12,64,11,,,
protein,valid_short,19,20000,792399283,2.578125,causal,rotary,700000000,768,12,64,11,0.21363845799416373,0.21363845799416373,0.15301309018327644
protein,valid_long,19,20000,792399283,2.5859375,causal,rotary,700000000,768,12,64,11,0.2065258824426317,0.2065258824426317,0.14529484036050586
protein,train,20,21000,832042000,2.60990625,causal,rotary,700000000,768,12,64,11,,,
protein,valid_short,20,21000,832042000,2.59375,causal,rotary,700000000,768,12,64,11,0.20831634732980026,0.20831634732980026,0.14829884909029953
protein,valid_long,20,21000,832042000,2.59375,causal,rotary,700000000,768,12,64,11,0.20296527407858356,0.20296527407858356,0.1424142535383151
protein,train,21,22000,871698306,2.608015625,causal,rotary,700000000,768,12,64,11,,,
protein,valid_short,21,22000,871698306,2.578125,causal,rotary,700000000,768,12,64,11,0.2161305170562062,0.2161305170562062,0.15533146680403542
protein,valid_long,21,22000,871698306,2.6015625,causal,rotary,700000000,768,12,64,11,0.20324045566502463,0.20324045566502463,0.1432876041890554
protein,train,22,23000,911298736,2.607546875,causal,rotary,700000000,768,12,64,11,,,
protein,valid_short,22,23000,911298736,2.5859375,causal,rotary,700000000,768,12,64,11,0.21015007097951735,0.21015007097951735,0.15075354418532855
protein,valid_long,22,23000,911298736,2.6015625,causal,rotary,700000000,768,12,64,11,0.2036366408721839,0.2036366408721839,0.14289271688292765
protein,train,23,24000,950970623,2.60334375,causal,rotary,700000000,768,12,64,11,,,
protein,valid_short,23,24000,950970623,2.578125,causal,rotary,700000000,768,12,64,11,0.21371480934684112,0.21371480934684112,0.15316131145102566
protein,valid_long,23,24000,950970623,2.6015625,causal,rotary,700000000,768,12,64,11,0.20763452242784444,0.20763452242784444,0.14787923344996057
protein,train,24,25000,990557045,2.601140625,causal,rotary,700000000,768,12,64,11,,,
protein,valid_short,24,25000,990557045,2.578125,causal,rotary,700000000,768,12,64,11,0.21507024265644956,0.21507024265644956,0.1554672335457658
